dateid01,copper,cotton,maize,sugar,wheat,wool,zinc
1957-01-01,731.93,31.79,64.56,5.8,70.55,271.49,284.4
1957-02-01,676.82,32.79,62.99,5.8,69.81,278.13,273.37
1957-03-01,659.18,32.44,61.41,6.2,69.81,281.63,266.76
1957-04-01,665.8,32.18,59.45,6.5,68.34,295.04,271.17
1957-05-01,654.77,32.1,57.08,6,65.77,304.81,235.89
1957-06-01,626.11,31.18,55.9,6.1,67.24,298.17,205.03
1957-07-01,599.66,30.9,53.93,5.3,62.46,281.63,207.23
1957-08-01,575.41,31.48,52.36,4.1,61.36,278.5,202.83
1957-09-01,533.52,31.4,51.57,4.6,61.73,274.99,200.62
1957-10-01,513.68,31.74,50.39,4,62.1,258.58,191.8
1957-11-01,518.09,32.34,50.39,3.6,64.67,241.67,185.19
1957-12-01,500.45,33.02,50.39,3.9,63.93,231.9,171.96
1958-01-01,471.79,33.38,50,3.7,65.04,222,171.96
1958-02-01,449.74,32.19,50,3.6,64.67,218.49,176.37
1958-03-01,469.58,31.38,48.82,3.4,67.24,202.08,176.37
1958-04-01,485.02,31.76,51.18,3.4,66.87,188.68,171.96
1958-05-01,493.83,31.61,50.39,3.5,67.24,192.18,169.76
1958-06-01,535.72,30.99,49.6,3.4,53.65,192.18,176.37
1958-07-01,551.16,29.55,50.39,3.5,51.44,188.68,176.37
1958-08-01,566.59,29.36,48.82,3.5,51.81,185.17,176.37
1958-09-01,577.61,28.54,47.24,3.5,55.48,182.04,178.57
1958-10-01,650.36,29.24,47.64,3.4,56.22,182.04,194.01
1958-11-01,670.2,27.91,50,3.4,57.32,185.54,207.23
1958-12-01,608.48,26.29,52.75,3.6,56.59,185.54,205.03
1959-01-01,634.93,26.28,52.36,3.3,57.32,185.54,207.23
1959-02-01,650.36,26.58,51.57,3.1,58.42,195.44,202.83
1959-03-01,685.64,26.95,51.18,3.1,59.89,195.44,207.23
1959-04-01,661.39,27.46,51.18,2.9,60.63,225.26,200.62
1959-05-01,650.36,27.85,51.18,2.9,58.42,228.77,213.85
1959-06-01,634.93,27.16,50.78,2.8,54.38,211.85,220.46
1959-07-01,608.48,26.2,51.18,2.7,55.12,228.77,222.67
1959-08-01,641.54,26.49,51.57,2.8,56.95,245.18,235.89
1959-09-01,634.93,26.81,49.21,3.1,57.69,238.54,238.1
1959-10-01,665.8,27.18,50,3.1,59.16,241.67,251.33
1959-11-01,690.05,27.46,49.6,3,59.52,241.67,262.35
1959-12-01,703.27,28.1,49.6,3,60.26,251.82,262.35
1960-01-01,714.3,27.86,50.39,3,59.89,252.57,260.15
1960-02-01,727.52,27.76,50,3,60.99,238.54,244.71
1960-03-01,698.86,28.03,50.78,3.1,61.73,242.05,249.12
1960-04-01,723.12,27.75,52.36,3,60.99,249.06,255.74
1960-05-01,683.43,28.01,51.97,3.1,57.69,245.55,253.53
1960-06-01,690.05,28.5,50,3,55.48,245.55,249.12
